sample-id,frequency
SRR5377893,54427.0
SRR5383265,54417.0
SRR5382940,54415.0
SRR5383271,54411.0
SRR5383109,54386.0
SRR5382884,54381.0
SRR5383373,54378.0
SRR5383290,54368.0
SRR5377997,54350.0
SRR5383135,54345.0
SRR5382939,54309.0
SRR5383043,54263.0
SRR5383034,54255.0
SRR5382892,54241.0
SRR5382937,54224.0
SRR5382973,54218.0
SRR5377907,54199.0
SRR5383116,54189.0
SRR5383250,54116.0
SRR5383014,54051.0
SRR5382909,54034.0
SRR5383016,54014.0
SRR5383273,53992.0
SRR5383256,53976.0
SRR5383215,53960.0
SRR5378064,53938.0
SRR5383238,53926.0
SRR5383279,53864.0
SRR5383078,53824.0
SRR5377936,53808.0
SRR7876531,53777.0
SRR5383006,53756.0
SRR5383219,53738.0
SRR5383167,53703.0
SRR5382981,53699.0
SRR5377990,53665.0
SRR5377989,53632.0
SRR5383082,53631.0
SRR5383061,53597.0
SRR5383206,53572.0
SRR5378002,53520.0
SRR5383248,53515.0
SRR5383225,53509.0
SRR5383163,53509.0
SRR5383112,53490.0
SRR5382990,53479.0
SRR5378013,53462.0
SRR5383027,53376.0
SRR5382921,53365.0
SRR5383114,53351.0
SRR5382911,53286.0
SRR5382906,53280.0
SRR5383196,53267.0
SRR5378005,53245.0
SRR5383160,53235.0
SRR5377960,53205.0
SRR5377974,53166.0
SRR5382888,53152.0
SRR5383267,53151.0
SRR5378044,53090.0
SRR5383375,53071.0
SRR5378036,53069.0
SRR5383367,53057.0
SRR5382897,53033.0
SRR5383263,53031.0
SRR5383091,53030.0
SRR5383258,52952.0
SRR5383162,52952.0
SRR5383276,52944.0
SRR5383348,52941.0
SRR5383058,52925.0
SRR5383092,52918.0
SRR5383235,52886.0
SRR5383007,52846.0
SRR5383254,52845.0
SRR5377978,52840.0
SRR5378001,52828.0
SRR5382925,52818.0
SRR5382932,52804.0
SRR5383245,52795.0
SRR5377988,52792.0
SRR5383240,52763.0
SRR5383249,52734.0
SRR5383272,52731.0
SRR5383363,52712.0
SRR5377875,52706.0
SRR5383372,52705.0
SRR5382991,52687.0
SRR5383089,52673.0
SRR5383040,52662.0
SRR5383029,52599.0
SRR5383201,52565.0
SRR5383369,52548.0
SRR5377902,52543.0
SRR5383124,52526.0
SRR5383222,52496.0
SRR5378065,52469.0
SRR5382941,52452.0
SRR5377895,52345.0
SRR5383063,52321.0
SRR5378004,52317.0
SRR5383083,52300.0
SRR5383173,52280.0
SRR5383174,52277.0
SRR5383169,52272.0
SRR5382989,52229.0
SRR5377959,52228.0
SRR7876575,52102.0
SRR5383361,52101.0
SRR5383032,52039.0
SRR5383149,52033.0
SRR5383199,52032.0
SRR5383207,51995.0
SRR5382934,51993.0
SRR5378012,51983.0
SRR5377968,51951.0
SRR5383164,51949.0
SRR5383146,51948.0
SRR5383237,51948.0
SRR5383200,51868.0
SRR5383144,51807.0
SRR5382852,51768.0
SRR5383080,51765.0
SRR5377983,51746.0
SRR5383295,51731.0
SRR5377962,51702.0
SRR5378018,51647.0
SRR5383110,51622.0
SRR5382985,51615.0
SRR5383284,51543.0
SRR5383277,51481.0
SRR5383084,51449.0
SRR5382908,51417.0
SRR5382887,51415.0
SRR5382929,51391.0
SRR5383176,51350.0
SRR5382880,51315.0
SRR5382849,51295.0
SRR5383059,51273.0
SRR5382898,51269.0
SRR5383244,51187.0
SRR5383261,51115.0
SRR5382918,51090.0
SRR5382893,51046.0
SRR5378045,51033.0
SRR5383366,51026.0
SRR5383138,51019.0
SRR5382922,51019.0
SRR5383300,51006.0
SRR5382856,51006.0
SRR5378033,51002.0
SRR5378007,50978.0
SRR5378051,50972.0
SRR5383033,50942.0
SRR5377867,50942.0
SRR5382936,50927.0
SRR5377982,50909.0
SRR5378008,50900.0
SRR5382931,50877.0
SRR5383117,50815.0
SRR5383131,50711.0
SRR5383148,50705.0
SRR5383259,50691.0
SRR5383101,50679.0
SRR7876625,50664.0
SRR5378030,50659.0
SRR5383387,50655.0
SRR5377944,50646.0
SRR5378047,50514.0
SRR5377951,50483.0
SRR5382988,50448.0
SRR5383379,50425.0
SRR5383322,50388.0
SRR5383218,50280.0
SRR5383274,50277.0
SRR5378049,50200.0
SRR5382996,50187.0
SRR5383039,50161.0
SRR5383370,50148.0
SRR5383189,50138.0
SRR5382891,50097.0
SRR5378028,50095.0
SRR5382926,50086.0
SRR5383359,50077.0
SRR5377857,50066.0
SRR5383378,50062.0
SRR5383223,50037.0
SRR7876651,49992.0
