sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR5383250	71126	63654	89.49	63396	54688	76.89	54116	76.08
SRR5383251	80282	69927	87.1	69598	59211	73.75	58405	72.75
SRR5383252	295811	258907	87.52	258393	215409	72.82	211672	71.56
SRR5383253	85183	77484	90.96	77285	71950	84.47	71303	83.71
SRR5383254	67737	59341	87.61	59142	53628	79.17	52845	78.01
SRR5383255	66094	57644	87.22	57411	48326	73.12	47663	72.11
SRR5383256	73306	64814	88.42	64623	54867	74.85	53976	73.63
SRR5383257	72153	56793	78.71	56499	47745	66.17	47210	65.43
SRR5383258	74856	64717	86.46	64512	53943	72.06	52952	70.74
SRR5383259	72909	61386	84.2	61158	51308	70.37	50691	69.53
SRR5383260	84100	75218	89.44	74968	61642	73.3	60700	72.18
SRR5383261	71187	61641	86.59	61371	51601	72.49	51115	71.8
SRR5383262	72884	65381	89.71	65124	56265	77.2	55506	76.16
SRR5383263	71201	62562	87.87	62335	53729	75.46	53031	74.48
SRR5383264	286151	249482	87.19	248913	208003	72.69	202797	70.87
SRR5383265	65996	57366	86.92	57156	54949	83.26	54417	82.45
SRR5383266	68916	61158	88.74	60934	59198	85.9	58479	84.86
SRR5383267	64801	56163	86.67	55970	53761	82.96	53151	82.02
SRR5383269	71034	61956	87.22	61760	58382	82.19	57575	81.05
SRR5383270	59300	49763	83.92	49609	46677	78.71	46270	78.03
SRR5383271	65881	58149	88.26	57573	55253	83.87	54411	82.59
SRR5383272	62287	55244	88.69	55098	53479	85.86	52731	84.66
SRR5383273	65011	57296	88.13	57046	54660	84.08	53992	83.05
SRR5383274	70261	61465	87.48	61171	50914	72.46	50277	71.56
SRR5383275	69830	59317	84.94	59125	49658	71.11	49089	70.3
SRR5383276	71199	63039	88.54	62760	53701	75.42	52944	74.36
SRR5383277	64346	55545	86.32	55393	51959	80.75	51481	80.01
SRR5383278	58477	48835	83.51	48689	46522	79.56	45932	78.55
SRR5383279	66605	57303	86.03	57060	54560	81.92	53864	80.87
SRR5383280	61180	52951	86.55	52774	50327	82.26	49649	81.15
SRR5383281	67052	58919	87.87	58704	56912	84.88	56437	84.17
SRR5383282	69372	60709	87.51	60530	57900	83.46	57374	82.7
SRR5383283	58743	50286	85.6	50059	47789	81.35	47374	80.65
SRR5383284	63295	54456	86.04	54283	52090	82.3	51543	81.43
SRR5383285	65753	58582	89.09	58398	56969	86.64	56519	85.96
SRR5383286	70455	61042	86.64	60748	58090	82.45	57227	81.22
SRR5383287	60232	51344	85.24	51133	48786	81	48203	80.03
SRR5383288	60292	51462	85.35	51266	49124	81.48	48582	80.58
SRR5383289	256994	220771	85.91	219910	211791	82.41	207694	80.82
SRR5383290	65873	57413	87.16	57200	55174	83.76	54368	82.53
SRR5383291	66788	58680	87.86	58444	56251	84.22	55493	83.09
SRR5383292	68036	58868	86.52	58617	55489	81.56	54595	80.24
SRR5383293	70236	62747	89.34	62584	60577	86.25	59222	84.32
SRR5383294	69085	60829	88.05	60632	58427	84.57	57620	83.4
SRR5383295	63514	55259	87	55024	52577	82.78	51731	81.45
SRR5383296	64215	57258	89.17	57043	55202	85.96	54705	85.19
SRR5383298	65478	57725	88.16	57494	55317	84.48	54698	83.54
SRR5383299	76531	65714	85.87	65440	62517	81.69	61669	80.58
SRR5383300	65940	58633	88.92	58494	53315	80.85	51006	77.35
SRR5383301	69036	60723	87.96	60453	58031	84.06	57191	82.84
SRR5383302	274285	238927	87.11	238560	225797	82.32	220060	80.23
SRR5383303	65197	57714	88.52	57546	55513	85.15	54645	83.82
SRR5383304	66265	58929	88.93	58734	56499	85.26	55632	83.95
SRR5383305	84811	75406	88.91	75204	72679	85.7	71656	84.49
SRR5383306	78911	68249	86.49	68001	64799	82.12	63870	80.94
SRR5383307	81632	70963	86.93	70765	68143	83.48	67031	82.11
SRR5383308	73151	64460	88.12	64293	61770	84.44	60789	83.1
SRR5383309	75540	66613	88.18	66435	63808	84.47	62888	83.25
SRR5383310	60981	51718	84.81	51499	49234	80.74	48517	79.56
SRR5383311	77846	70136	90.1	69926	67569	86.8	66724	85.71
SRR5383312	73114	65649	89.79	65416	62691	85.74	61637	84.3
SRR5383313	66889	58206	87.02	58026	55884	83.55	55396	82.82
SRR5383314	298139	262407	88.01	261898	253285	84.96	248164	83.24
SRR5383315	76723	68556	89.36	68363	66556	86.75	65213	85
SRR5383316	76925	64740	84.16	64495	62122	80.76	60712	78.92
SRR5383317	77487	67289	86.84	67008	64482	83.22	63403	81.82
SRR5383318	76879	68120	88.61	67896	65082	84.66	64174	83.47
SRR5383320	77371	71017	91.79	70838	68367	88.36	66587	86.06
SRR5383321	80126	69030	86.15	68842	65997	82.37	63967	79.83
SRR5383322	59540	52897	88.84	52723	50807	85.33	50388	84.63
SRR5383323	94674	83660	88.37	83367	80838	85.39	79271	83.73
SRR5383324	83985	73512	87.53	73309	70901	84.42	68123	81.11
SRR5383325	72177	61650	85.42	61295	58772	81.43	58005	80.36
SRR5383326	83273	71123	85.41	70882	67954	81.6	67019	80.48
SRR5383327	321070	278290	86.68	277839	267687	83.37	260612	81.17
SRR5383328	70506	61791	87.64	61620	57124	81.02	55900	79.28
SRR5383329	67749	59846	88.33	59615	57423	84.76	56675	83.65
SRR5383330	71357	64418	90.28	64215	62331	87.35	61529	86.23
SRR5383331	69242	62481	90.24	62229	59880	86.48	59138	85.41
SRR5383332	75062	66516	88.61	66298	62864	83.75	61541	81.99
SRR5383333	70141	64119	91.41	63926	62233	88.73	61234	87.3
SRR5383334	75199	66215	88.05	65993	63519	84.47	62517	83.14
SRR5383335	73527	65295	88.8	65039	62732	85.32	61975	84.29
SRR5383336	75160	67898	90.34	67672	65745	87.47	64550	85.88
SRR5383337	59740	54266	90.84	54085	49751	83.28	49156	82.28
SRR5383338	70418	61915	87.92	61649	59053	83.86	57613	81.82
SRR5383339	295645	264235	89.38	262550	253650	85.8	248103	83.92
SRR5383340	69771	61529	88.19	61325	58526	83.88	57762	82.79
SRR5383342	72922	62827	86.16	62593	59664	81.82	58846	80.7
SRR5383343	70497	60895	86.38	60548	57424	81.46	56480	80.12
SRR5383344	66791	57738	86.45	57525	55245	82.71	54530	81.64
SRR5383345	75507	66117	87.56	65963	63050	83.5	62016	82.13
